Title,Publish Date,Expires,Status,Priority,Summary,Author,Link,Notes
Announcement 1,2025-09-01,2025-09-21,Published,Medium,,HR,https://example.com/a1,Note 1
Announcement 2,2025-09-02,2025-09-22,Published,Medium,,HR,https://example.com/a2,Note 2
Announcement 3,2025-09-03,2025-09-23,Published,Medium,,HR,https://example.com/a3,Note 3
Announcement 4,2025-09-04,2025-09-24,Published,Medium,,HR,https://example.com/a4,Note 4
Announcement 5,2025-09-05,2025-09-25,Published,Medium,,HR,https://example.com/a5,Note 5
Announcement 6,2025-09-06,2025-09-26,Published,Medium,,HR,https://example.com/a6,Note 6
Announcement 7,2025-09-07,2025-09-27,Published,Medium,,HR,https://example.com/a7,Note 7
Announcement 8,2025-09-08,2025-09-28,Published,Medium,,HR,https://example.com/a8,Note 8
Announcement 9,2025-09-09,2025-09-29,Published,Medium,,HR,https://example.com/a9,Note 9
Announcement 10,,,Published,Medium,,HR,https://example.com/a10,Note 10
